id,Country,Namespace,Reporting year,Network,Network name,Measurement station,Station EoI code,Measurement station name,Sampling point,Used for AQD,Data aggregation process,Data reporting metric,Objective type,Protection target,Air pollutant,Air pollution level,Exceedance threshold,Unit,Data coverage [%],Data verification,Type of station,Area of station,Latitude of station,Longitude of station,Zone code,Zone description,Type of zone
2014#Romania.SO2.P1Y.CL.SPO-RO0087A_00001_100,Romania,RO.ANPM.AQ,2014,NET-RO019A,"Iasi_retea",STA-RO0087A,RO0087A,"IS-5",SPO-RO0087A_00001_100,YES,Annual mean / 1 calendar year,Annual mean / average,Critical level (CL),Vegetation,SO2,4.79,20,ug.m-3,88.72,Verified,Background,Suburban,47.13716,27.693067,RO21399,Iasi,Non-agglomeration
2014#Romania.PM10.P1Y.MO.SPO-RO0087A_00005_100,Romania,RO.ANPM.AQ,2014,NET-RO019A,"Iasi_retea",STA-RO0087A,RO0087A,"IS-5",SPO-RO0087A_00005_100,NO,Annual mean / 1 calendar year,Annual mean / average,Monitoring objective (MO),Not applicable,PM10,32.17,,ug.m-3,89.04,Verified,Background,Suburban,47.13716,27.693067,,,
2014#Romania.O3.P1Y-hrsAbove180.ALT.SPO-RO0087A_00007_100,Romania,RO.ANPM.AQ,2014,NET-RO019A,"Iasi_retea",STA-RO0087A,RO0087A,"IS-5",SPO-RO0087A_00007_100,YES,1 year hour exceed 180,Hours in exceedance in a calendar year,Alert threshold (ALT),Health,O3,0,,count,88.05,Verified,Background,Suburban,47.13716,27.693067,RO21399,Iasi,Non-agglomeration
2014#Romania.SO2.P1Y-3hAbove500.ALT.SPO-RO0092A_00001_100,Romania,RO.ANPM.AQ,2014,NET-RO021A,"Alba_RNMCA",STA-RO0092A,RO0092A,"AB-1",SPO-RO0092A_00001_100,YES,3 consecutive hours in exceedance of 500,Three consecutive hours in exceedance,Alert threshold (ALT),Health,SO2,0,,count,78.9,Verified,Background,Urban,46.064224,23.563482,RO12199,Alba,Non-agglomeration
2014#Romania.SO2.P1Y-daysAbove125.LV.SPO-RO0092A_00001_100,Romania,RO.ANPM.AQ,2014,NET-RO021A,"Alba_RNMCA",STA-RO0092A,RO0092A,"AB-1",SPO-RO0092A_00001_100,YES,1 year day exceed 125,Days in exceedance in a calendar year,Limit Value (LV),Health,SO2,0,3,count,80.27,Verified,Background,Urban,46.064224,23.563482,RO12199,Alba,Non-agglomeration
2014#Romania.PM10.P1Y-daysAbove50.LV.SPO-RO0092A_00005_100,Romania,RO.ANPM.AQ,2014,NET-RO021A,"Alba_RNMCA",STA-RO0092A,RO0092A,"AB-1",SPO-RO0092A_00005_100,NO,1 year day exceed 50,Days in exceedance in a calendar year,Limit Value (LV),Health,PM10,11,50,count,92.33,Verified,Background,Urban,46.064224,23.563482,,,
2014#Romania.NO2.P1Y-hrsAbove200.LVmaxMOT.SPO-RO0092A_00008_100,Romania,RO.ANPM.AQ,2014,NET-RO021A,"Alba_RNMCA",STA-RO0092A,RO0092A,"AB-1",SPO-RO0092A_00008_100,YES,1 year hour exceed 200,Hours in exceedance in a calendar year,Limit value plus maximum margin of tolerance,Health,NO2,0,27,count,79.1,Verified,Background,Urban,46.064224,23.563482,RO12199,Alba,Non-agglomeration
2014#Romania.NOX as NO2.P1Y.CL.SPO-RO0092A_00009_100,Romania,RO.ANPM.AQ,2014,NET-RO021A,"Alba_RNMCA",STA-RO0092A,RO0092A,"AB-1",SPO-RO0092A_00009_100,NO,Annual mean / 1 calendar year,Annual mean / average,Critical level (CL),Vegetation,NOX as NO2,29.63,30,ugNO2.m-3,79.1,Verified,Background,Urban,46.064224,23.563482,,,
2014#Romania.O3.P1Y-hrsAbove240.ALT.SPO-RO0093A_00007_100,Romania,RO.ANPM.AQ,2014,NET-RO021A,"Alba_RNMCA",STA-RO0093A,RO0093A,"AB-2",SPO-RO0093A_00007_100,YES,1 year hour exceed 240,Hours in exceedance in a calendar year,Alert threshold (ALT),Health,O3,0,,count,85.9,Verified,Industrial,Urban,45.9669,23.561399,RO12199,Alba,Non-agglomeration
2014#Romania.PM10.P1Y-daysAbove50.LV.SPO-RO0094A_00005_100,Romania,RO.ANPM.AQ,2014,NET-RO021A,"Alba_RNMCA",STA-RO0094A,RO0094A,"AB-3",SPO-RO0094A_00005_100,YES,1 year day exceed 50,Days in exceedance in a calendar year,Limit Value (LV),Health,PM10,11,50,count,94.79,Verified,Industrial,Urban,46.108295,23.225601,RO12199,Alba,Non-agglomeration
2014#Romania.O3.P1Y-hrsAbove180.INT.SPO-RO0094A_00007_100,Romania,RO.ANPM.AQ,2014,NET-RO021A,"Alba_RNMCA",STA-RO0094A,RO0094A,"AB-3",SPO-RO0094A_00007_100,YES,1 year hour exceed 180,Hours in exceedance in a calendar year,Information Threshold (INT),Health,O3,0,,count,88.37,Verified,Industrial,Urban,46.108295,23.225601,RO12199,Alba,Non-agglomeration
2014#Romania.NO2.P1Y.LVmaxMOT.SPO-RO0094A_00008_100,Romania,RO.ANPM.AQ,2014,NET-RO021A,"Alba_RNMCA",STA-RO0094A,RO0094A,"AB-3",SPO-RO0094A_00008_100,YES,Annual mean / 1 calendar year,Annual mean / average,Limit value plus maximum margin of tolerance,Health,NO2,12.17,60,ug.m-3,74.33,Verified,Industrial,Urban,46.108295,23.225601,RO12199,Alba,Non-agglomeration
2014#Romania.NO2.P1Y.MO.SPO-RO0094A_00008_100,Romania,RO.ANPM.AQ,2014,NET-RO021A,"Alba_RNMCA",STA-RO0094A,RO0094A,"AB-3",SPO-RO0094A_00008_100,YES,Annual mean / 1 calendar year,Annual mean / average,Monitoring objective (MO),Not applicable,NO2,12.17,,ug.m-3,74.33,Verified,Industrial,Urban,46.108295,23.225601,RO12199,Alba,Non-agglomeration
2014#Romania.SO2.P1Y.CL.SPO-RO0095A_00001_100,Romania,RO.ANPM.AQ,2014,NET-RO022A,"Arad_RNMCA",STA-RO0095A,RO0095A,"AR-1",SPO-RO0095A_00001_100,YES,Annual mean / 1 calendar year,Annual mean / average,Critical level (CL),Vegetation,SO2,10.65,20,ug.m-3,94.77,Verified,Traffic,Urban,46.181389,21.334721,RO42199,Arad,Non-agglomeration
2014#Romania.PM10.P1Y.MO.SPO-RO0095A_00005_100,Romania,RO.ANPM.AQ,2014,NET-RO022A,"Arad_RNMCA",STA-RO0095A,RO0095A,"AR-1",SPO-RO0095A_00005_100,YES,Annual mean / 1 calendar year,Annual mean / average,Monitoring objective (MO),Not applicable,PM10,25.31,,ug.m-3,94.52,Verified,Traffic,Urban,46.181389,21.334721,RO42199,Arad,Non-agglomeration
2014#Romania.O3.P1Y-hrsAbove180.ALT.SPO-RO0095A_00007_100,Romania,RO.ANPM.AQ,2014,NET-RO022A,"Arad_RNMCA",STA-RO0095A,RO0095A,"AR-1",SPO-RO0095A_00007_100,YES,1 year hour exceed 180,Hours in exceedance in a calendar year,Alert threshold (ALT),Health,O3,0,,count,95,Verified,Traffic,Urban,46.181389,21.334721,RO42199,Arad,Non-agglomeration
2014#Romania.SO2.P1Y-hrsAbove350.LV.SPO-RO0096A_00001_100,Romania,RO.ANPM.AQ,2014,NET-RO022A,"Arad_RNMCA",STA-RO0096A,RO0096A,"AR-2",SPO-RO0096A_00001_100,YES,1 year hour exceed 350,Hours in exceedance in a calendar year,Limit Value (LV),Health,SO2,0,24,count,91.4,Verified,Background,Urban,46.190552,21.302483,RO42199,Arad,Non-agglomeration
2014#Romania.NO2.P1Y.MO.SPO-RO0096A_00008_100,Romania,RO.ANPM.AQ,2014,NET-RO022A,"Arad_RNMCA",STA-RO0096A,RO0096A,"AR-2",SPO-RO0096A_00008_100,YES,Annual mean / 1 calendar year,Annual mean / average,Monitoring objective (MO),Not applicable,NO2,14.42,,ug.m-3,93.08,Verified,Background,Urban,46.190552,21.302483,RO42199,Arad,Non-agglomeration
2014#Romania.NOX as NO2.P1Y.CL.SPO-RO0096A_00009_100,Romania,RO.ANPM.AQ,2014,NET-RO022A,"Arad_RNMCA",STA-RO0096A,RO0096A,"AR-2",SPO-RO0096A_00009_100,NO,Annual mean / 1 calendar year,Annual mean / average,Critical level (CL),Vegetation,NOX as NO2,24.14,30,ugNO2.m-3,93.08,Verified,Background,Urban,46.190552,21.302483,,,
2014#Romania.SO2.P1Y-hrsAbove350.LV.SPO-RO0098A_00001_100,Romania,RO.ANPM.AQ,2014,NET-RO023A,"Arges_RNMCA",STA-RO0098A,RO0098A,"AG-1",SPO-RO0098A_00001_100,YES,1 year hour exceed 350,Hours in exceedance in a calendar year,Limit Value (LV),Health,SO2,0,24,count,85.57,Verified,Traffic,Urban,44.870219,24.854518,RO31101,Pitesti,Agglomeration
2014#Romania.O3.P1Y-hrsAbove240.ALT.SPO-RO0099A_00007_100,Romania,RO.ANPM.AQ,2014,NET-RO023A,"Arges_RNMCA",STA-RO0099A,RO0099A,"AG-2",SPO-RO0099A_00007_100,YES,1 year hour exceed 240,Hours in exceedance in a calendar year,Alert threshold (ALT),Health,O3,0,,count,90.21,Verified,Background,Urban,44.858171,24.87715,RO31101,Pitesti,Agglomeration
2014#Romania.O3.P1Y-dmaxAbove120.LTO.SPO-RO0099A_00007_100,Romania,RO.ANPM.AQ,2014,NET-RO023A,"Arges_RNMCA",STA-RO0099A,RO0099A,"AG-2",SPO-RO0099A_00007_100,YES,1 year daymax exceed 120,Days in exceedance in a calendar year,Long term objective (LTO),Health,O3,0,0,count,92.6,Verified,Background,Urban,44.858171,24.87715,RO31101,Pitesti,Agglomeration
2014#Romania.PM2.5.P1Y.LV.SPO-RO0099A_06001_100,Romania,RO.ANPM.AQ,2014,NET-RO023A,"Arges_RNMCA",STA-RO0099A,RO0099A,"AG-2",SPO-RO0099A_06001_100,YES,Annual mean / 1 calendar year,Annual mean / average,Limit Value (LV),Health,PM2.5,13.38,25,ug.m-3,81.37,Verified,Background,Urban,44.858171,24.87715,RO31101,Pitesti,Agglomeration
2014#Romania.O3.P1Y-hrsAbove240.ALT.SPO-RO0102A_00007_100,Romania,RO.ANPM.AQ,2014,NET-RO023A,"Arges_RNMCA",STA-RO0102A,RO0102A,"AG-5",SPO-RO0102A_00007_100,YES,1 year hour exceed 240,Hours in exceedance in a calendar year,Alert threshold (ALT),Health,O3,0,,count,82.24,Verified,Industrial,Suburban,44.755625,24.97548,RO31199,Arges,Non-agglomeration
2014#Romania.O3.P1Y-dmaxAbove120.LTO.SPO-RO0102A_00007_100,Romania,RO.ANPM.AQ,2014,NET-RO023A,"Arges_RNMCA",STA-RO0102A,RO0102A,"AG-5",SPO-RO0102A_00007_100,YES,1 year daymax exceed 120,Days in exceedance in a calendar year,Long term objective (LTO),Health,O3,1,0,count,84.93,Verified,Industrial,Suburban,44.755625,24.97548,RO31199,Arges,Non-agglomeration
2014#Romania.SO2.P1Y.CL.SPO-RO0104A_00001_100,Romania,RO.ANPM.AQ,2014,NET-RO024A,"Bacau_RNMCA",STA-RO0104A,RO0104A,"BC-1",SPO-RO0104A_00001_100,YES,Annual mean / 1 calendar year,Annual mean / average,Critical level (CL),Vegetation,SO2,3.69,20,ug.m-3,87.17,Verified,Background,Urban,46.564594,26.910671,RO21101,Bacau,Agglomeration
2014#Romania.O3.P1Y-hrsAbove240.INT.SPO-RO0104A_00007_100,Romania,RO.ANPM.AQ,2014,NET-RO024A,"Bacau_RNMCA",STA-RO0104A,RO0104A,"BC-1",SPO-RO0104A_00007_100,YES,1 year hour exceed 240,Hours in exceedance in a calendar year,Information Threshold (INT),Health,O3,0,,count,76.08,Verified,Background,Urban,46.564594,26.910671,RO21101,Bacau,Agglomeration
2014#Romania.O3.P1Y-hrsAbove180.ALT.SPO-RO0104A_00007_100,Romania,RO.ANPM.AQ,2014,NET-RO024A,"Bacau_RNMCA",STA-RO0104A,RO0104A,"BC-1",SPO-RO0104A_00007_100,YES,1 year hour exceed 180,Hours in exceedance in a calendar year,Alert threshold (ALT),Health,O3,0,,count,76.08,Verified,Background,Urban,46.564594,26.910671,RO21101,Bacau,Agglomeration
2014#Romania.SO2.P1Y-hrsAbove350.LV.SPO-RO0105A_00001_100,Romania,RO.ANPM.AQ,2014,NET-RO024A,"Bacau_RNMCA",STA-RO0105A,RO0105A,"BC-2",SPO-RO0105A_00001_100,YES,1 year hour exceed 350,Hours in exceedance in a calendar year,Limit Value (LV),Health,SO2,0,24,count,89.22,Verified,Industrial,Urban,46.555931,26.927031,RO21101,Bacau,Agglomeration
2014#Romania.SO2.P1Y-daysAbove125.LV.SPO-RO0106A_00001_100,Romania,RO.ANPM.AQ,2014,NET-RO024A,"Bacau_RNMCA",STA-RO0106A,RO0106A,"BC-3",SPO-RO0106A_00001_100,YES,1 year day exceed 125,Days in exceedance in a calendar year,Limit Value (LV),Health,SO2,0,3,count,94.52,Verified,Industrial,Urban,46.256931,26.793091,RO21199,Bacau,Non-agglomeration
2014#Romania.SO2.P1Y.CL.SPO-RO0106A_00001_100,Romania,RO.ANPM.AQ,2014,NET-RO024A,"Bacau_RNMCA",STA-RO0106A,RO0106A,"BC-3",SPO-RO0106A_00001_100,YES,Annual mean / 1 calendar year,Annual mean / average,Critical level (CL),Vegetation,SO2,6.36,20,ug.m-3,91.27,Verified,Industrial,Urban,46.256931,26.793091,RO21199,Bacau,Non-agglomeration
2014#Romania.O3.P1Y-hrsAbove180.ALT.SPO-RO0106A_00007_100,Romania,RO.ANPM.AQ,2014,NET-RO024A,"Bacau_RNMCA",STA-RO0106A,RO0106A,"BC-3",SPO-RO0106A_00007_100,YES,1 year hour exceed 180,Hours in exceedance in a calendar year,Alert threshold (ALT),Health,O3,0,,count,91.16,Verified,Industrial,Urban,46.256931,26.793091,RO21199,Bacau,Non-agglomeration
2014#Romania.O3.P1Y-hrsAbove240.INT.SPO-RO0106A_00007_100,Romania,RO.ANPM.AQ,2014,NET-RO024A,"Bacau_RNMCA",STA-RO0106A,RO0106A,"BC-3",SPO-RO0106A_00007_100,YES,1 year hour exceed 240,Hours in exceedance in a calendar year,Information Threshold (INT),Health,O3,0,,count,91.16,Verified,Industrial,Urban,46.256931,26.793091,RO21199,Bacau,Non-agglomeration
2014#Romania.O3.P1Y-dmaxAbove120.LTO.SPO-RO0106A_00007_100,Romania,RO.ANPM.AQ,2014,NET-RO024A,"Bacau_RNMCA",STA-RO0106A,RO0106A,"BC-3",SPO-RO0106A_00007_100,YES,1 year daymax exceed 120,Days in exceedance in a calendar year,Long term objective (LTO),Health,O3,0,0,count,93.97,Verified,Industrial,Urban,46.256931,26.793091,RO21199,Bacau,Non-agglomeration
2014#Romania.SO2.P1Y-hrsAbove350.LV.SPO-RO0107A_00001_100,Romania,RO.ANPM.AQ,2014,NET-RO025A,"Bihor_RNMCA",STA-RO0107A,RO0107A,"BH-1",SPO-RO0107A_00001_100,YES,1 year hour exceed 350,Hours in exceedance in a calendar year,Limit Value (LV),Health,SO2,0,24,count,87.39,Verified,Background,Urban,47.068611,21.927238,RO11199,Bihor,Non-agglomeration
2014#Romania.SO2.P1Y-3hAbove500.ALT.SPO-RO0108A_00001_100,Romania,RO.ANPM.AQ,2014,NET-RO025A,"Bihor_RNMCA",STA-RO0108A,RO0108A,"BH-2",SPO-RO0108A_00001_100,YES,3 consecutive hours in exceedance of 500,Three consecutive hours in exceedance,Alert threshold (ALT),Health,SO2,0,,count,87.25,Verified,Industrial,Urban,47.097504,21.901402,RO11199,Bihor,Non-agglomeration
2014#Romania.PM10.P1Y-daysAbove50.LV.SPO-RO0108A_00005_100,Romania,RO.ANPM.AQ,2014,NET-RO025A,"Bihor_RNMCA",STA-RO0108A,RO0108A,"BH-2",SPO-RO0108A_00005_100,YES,1 year day exceed 50,Days in exceedance in a calendar year,Limit Value (LV),Health,PM10,28,50,count,86.3,Verified,Industrial,Urban,47.097504,21.901402,RO11199,Bihor,Non-agglomeration
2014#Romania.PM10.P1Y-P1D-per90.4.LV.SPO-RO0108A_00005_100,Romania,RO.ANPM.AQ,2014,NET-RO025A,"Bihor_RNMCA",STA-RO0108A,RO0108A,"BH-2",SPO-RO0108A_00005_100,YES,1 year 90.4 percentile - COMPLIANCE,Days in exceedance in a calendar year,Limit Value (LV),Health,PM10,45.02,50,ug.m-3,86.3,Verified,Industrial,Urban,47.097504,21.901402,RO11199,Bihor,Non-agglomeration
2014#Romania.O3.P1Y-hrsAbove240.ALT.SPO-RO0108A_00007_100,Romania,RO.ANPM.AQ,2014,NET-RO025A,"Bihor_RNMCA",STA-RO0108A,RO0108A,"BH-2",SPO-RO0108A_00007_100,YES,1 year hour exceed 240,Hours in exceedance in a calendar year,Alert threshold (ALT),Health,O3,0,,count,87.11,Verified,Industrial,Urban,47.097504,21.901402,RO11199,Bihor,Non-agglomeration
2014#Romania.O3.P1Y-hrsAbove180.INT.SPO-RO0108A_00007_100,Romania,RO.ANPM.AQ,2014,NET-RO025A,"Bihor_RNMCA",STA-RO0108A,RO0108A,"BH-2",SPO-RO0108A_00007_100,YES,1 year hour exceed 180,Hours in exceedance in a calendar year,Information Threshold (INT),Health,O3,0,,count,87.11,Verified,Industrial,Urban,47.097504,21.901402,RO11199,Bihor,Non-agglomeration
2014#Romania.O3.P1Y-dmaxAbove120.LTO.SPO-RO0108A_00007_100,Romania,RO.ANPM.AQ,2014,NET-RO025A,"Bihor_RNMCA",STA-RO0108A,RO0108A,"BH-2",SPO-RO0108A_00007_100,YES,1 year daymax exceed 120,Days in exceedance in a calendar year,Long term objective (LTO),Health,O3,0,0,count,87.67,Verified,Industrial,Urban,47.097504,21.901402,RO11199,Bihor,Non-agglomeration
2014#Romania.PM10.P1Y.LV.SPO-RO0111A_00005_100,Romania,RO.ANPM.AQ,2014,NET-RO026A,"Bistrita_RNMCA",STA-RO0111A,RO0111A,"BN-1",SPO-RO0111A_00005_100,NO,Annual mean / 1 calendar year,Annual mean / average,Limit Value (LV),Health,PM10,17.98,40,ug.m-3,81.1,Verified,Background,Urban,47.127377,24.495428,,,
2014#Romania.CO.P1Y-8hdmxAbove10.LV.SPO-RO0111A_00010_100,Romania,RO.ANPM.AQ,2014,NET-RO026A,"Bistrita_RNMCA",STA-RO0111A,RO0111A,"BN-1",SPO-RO0111A_00010_100,NO,1 year daymax exceed 10,Days in exceedance in a calendar year,Limit Value (LV),Health,CO,0,0,count,94.79,Verified,Background,Urban,47.127377,24.495428,,,
2014#Romania.SO2.P1Y.CL.SPO-RO0112A_00001_100,Romania,RO.ANPM.AQ,2014,NET-RO027A,"Botosani_RNMCA",STA-RO0112A,RO0112A,"BT-1",SPO-RO0112A_00001_100,YES,Annual mean / 1 calendar year,Annual mean / average,Critical level (CL),Vegetation,SO2,17.42,20,ug.m-3,83.2,Verified,Background,Urban,47.739891,26.658577,RO21299,Botosani,Non-agglomeration
2014#Romania.O3.P1Y-dmaxAbove120.LTO.SPO-RO0114A_00007_100,Romania,RO.ANPM.AQ,2014,NET-RO028A,"Braila_RNMCA",STA-RO0114A,RO0114A,"BR-2",SPO-RO0114A_00007_100,NO,1 year daymax exceed 120,Days in exceedance in a calendar year,Long term objective (LTO),Health,O3,0,0,count,55.62,Verified,Background,Urban,45.26297,27.96966,,,
2014#Romania.O3.P1Y-hrsAbove240.ALT.SPO-RO0114A_00007_100,Romania,RO.ANPM.AQ,2014,NET-RO028A,"Braila_RNMCA",STA-RO0114A,RO0114A,"BR-2",SPO-RO0114A_00007_100,NO,1 year hour exceed 240,Hours in exceedance in a calendar year,Alert threshold (ALT),Health,O3,0,,count,54.22,Verified,Background,Urban,45.26297,27.96966,,,
2014#Romania.O3.P1Y-hrsAbove180.ALT.SPO-RO0114A_00007_100,Romania,RO.ANPM.AQ,2014,NET-RO028A,"Braila_RNMCA",STA-RO0114A,RO0114A,"BR-2",SPO-RO0114A_00007_100,NO,1 year hour exceed 180,Hours in exceedance in a calendar year,Alert threshold (ALT),Health,O3,0,,count,54.22,Verified,Background,Urban,45.26297,27.96966,,,
2014#Romania.CO.P1Y-8hdmxAbove10.LV.SPO-RO0117A_00010_100,Romania,RO.ANPM.AQ,2014,NET-RO028A,"Braila_RNMCA",STA-RO0117A,RO0117A,"BR-5",SPO-RO0117A_00010_100,YES,1 year daymax exceed 10,Days in exceedance in a calendar year,Limit Value (LV),Health,CO,0,0,count,60.82,Verified,Industrial,Rural,45.16853,27.922554,RO22199,Braila,Non-agglomeration
2014#Romania.PM10.P1Y.MO.SPO-RO0120A_00005_100,Romania,RO.ANPM.AQ,2014,NET-RO029A,"Brasov_RNMCA",STA-RO0120A,RO0120A,"BV-3",SPO-RO0120A_00005_100,YES,Annual mean / 1 calendar year,Annual mean / average,Monitoring objective (MO),Not applicable,PM10,23.13,,ug.m-3,90.96,Verified,Traffic,Urban,45.65937,25.616217,RO12201,Brasov,Agglomeration
2014#Romania.O3.P1Y-hrsAbove180.ALT.SPO-RO0120A_00007_100,Romania,RO.ANPM.AQ,2014,NET-RO029A,"Brasov_RNMCA",STA-RO0120A,RO0120A,"BV-3",SPO-RO0120A_00007_100,YES,1 year hour exceed 180,Hours in exceedance in a calendar year,Alert threshold (ALT),Health,O3,0,,count,64.18,Verified,Traffic,Urban,45.65937,25.616217,RO12201,Brasov,Agglomeration
2014#Romania.O3.P1Y-hrsAbove240.INT.SPO-RO0120A_00007_100,Romania,RO.ANPM.AQ,2014,NET-RO029A,"Brasov_RNMCA",STA-RO0120A,RO0120A,"BV-3",SPO-RO0120A_00007_100,YES,1 year hour exceed 240,Hours in exceedance in a calendar year,Information Threshold (INT),Health,O3,0,,count,64.18,Verified,Traffic,Urban,45.65937,25.616217,RO12201,Brasov,Agglomeration
2014#Romania.NO2.P1Y-hrsAbove200.LV.SPO-RO0120A_00008_100,Romania,RO.ANPM.AQ,2014,NET-RO029A,"Brasov_RNMCA",STA-RO0120A,RO0120A,"BV-3",SPO-RO0120A_00008_100,YES,1 year hour exceed 200,Hours in exceedance in a calendar year,Limit Value (LV),Health,NO2,0,18,count,67.39,Verified,Traffic,Urban,45.65937,25.616217,RO12201,Brasov,Agglomeration
2014#Romania.NO2.P1Y-3hAbove400.ALT.SPO-RO0120A_00008_100,Romania,RO.ANPM.AQ,2014,NET-RO029A,"Brasov_RNMCA",STA-RO0120A,RO0120A,"BV-3",SPO-RO0120A_00008_100,YES,3 consecutive hours in exceedance of 400,Three consecutive hours in exceedance,Alert threshold (ALT),Health,NO2,0,,count,67.39,Verified,Traffic,Urban,45.65937,25.616217,RO12201,Brasov,Agglomeration
2014#Romania.SO2.P1Y-hrsAbove350.LV.SPO-RO0123A_00001_100,Romania,RO.ANPM.AQ,2014,NET-RO030A,"Buzau_RNMCA",STA-RO0123A,RO0123A,"BZ-1",SPO-RO0123A_00001_100,YES,1 year hour exceed 350,Hours in exceedance in a calendar year,Limit Value (LV),Health,SO2,0,24,count,91.92,Verified,Background,Urban,45.153606,26.819145,RO22299,Buzau,Non-agglomeration
2014#Romania.PM10.P1Y-P1D-per90.41.LV.SPO-RO0123A_00005_100,Romania,RO.ANPM.AQ,2014,NET-RO030A,"Buzau_RNMCA",STA-RO0123A,RO0123A,"BZ-1",SPO-RO0123A_00005_100,YES,1 year 90.41 percentile,Days in exceedance in a calendar year,Limit Value (LV),Health,PM10,39.97,50,ug.m-3,99.73,Verified,Background,Urban,45.153606,26.819145,RO22299,Buzau,Non-agglomeration
2014#Romania.CO.P1Y-8hdmxAbove10.LV.SPO-RO0127A_00010_100,Romania,RO.ANPM.AQ,2014,NET-RO032A,"Caras_RNMCA",STA-RO0127A,RO0127A,"CS-1",SPO-RO0127A_00010_100,NO,1 year daymax exceed 10,Days in exceedance in a calendar year,Limit Value (LV),Health,CO,0,0,count,52.05,Verified,Industrial,Urban,45.299332,21.872139,,,
2014#Romania.PM10.P1Y-P1D-per90.4.LV.SPO-RO0128A_00005_100,Romania,RO.ANPM.AQ,2014,NET-RO032A,"Caras_RNMCA",STA-RO0128A,RO0128A,"CS-2",SPO-RO0128A_00005_100,YES,1 year 90.4 percentile - COMPLIANCE,Days in exceedance in a calendar year,Limit Value (LV),Health,PM10,21.07,50,ug.m-3,88.49,Verified,Industrial,Urban,45.518608,22.352751,RO42299,Caras-Severin,Non-agglomeration
2014#Romania.PM10.P1Y.MO.SPO-RO0128A_00005_100,Romania,RO.ANPM.AQ,2014,NET-RO032A,"Caras_RNMCA",STA-RO0128A,RO0128A,"CS-2",SPO-RO0128A_00005_100,YES,Annual mean / 1 calendar year,Annual mean / average,Monitoring objective (MO),Not applicable,PM10,11.54,,ug.m-3,88.49,Verified,Industrial,Urban,45.518608,22.352751,RO42299,Caras-Severin,Non-agglomeration
2014#Romania.O3.P1Y-dmaxAbove120.LTO.SPO-RO0128A_00007_100,Romania,RO.ANPM.AQ,2014,NET-RO032A,"Caras_RNMCA",STA-RO0128A,RO0128A,"CS-2",SPO-RO0128A_00007_100,YES,1 year daymax exceed 120,Days in exceedance in a calendar year,Long term objective (LTO),Health,O3,0,0,count,99.45,Verified,Industrial,Urban,45.518608,22.352751,RO42299,Caras-Severin,Non-agglomeration
2014#Romania.O3.P1Y-hrsAbove180.ALT.SPO-RO0128A_00007_100,Romania,RO.ANPM.AQ,2014,NET-RO032A,"Caras_RNMCA",STA-RO0128A,RO0128A,"CS-2",SPO-RO0128A_00007_100,YES,1 year hour exceed 180,Hours in exceedance in a calendar year,Alert threshold (ALT),Health,O3,0,,count,99.63,Verified,Industrial,Urban,45.518608,22.352751,RO42299,Caras-Severin,Non-agglomeration
2014#Romania.O3.P1Y-hrsAbove240.INT.SPO-RO0128A_00007_100,Romania,RO.ANPM.AQ,2014,NET-RO032A,"Caras_RNMCA",STA-RO0128A,RO0128A,"CS-2",SPO-RO0128A_00007_100,YES,1 year hour exceed 240,Hours in exceedance in a calendar year,Information Threshold (INT),Health,O3,0,,count,99.63,Verified,Industrial,Urban,45.518608,22.352751,RO42299,Caras-Severin,Non-agglomeration
2014#Romania.PM10.P1Y-P1D-per90.41.LV.SPO-RO0131A_00005_100,Romania,RO.ANPM.AQ,2014,NET-RO033A,"Constanta_RNMCA",STA-RO0131A,RO0131A,"CT-1",SPO-RO0131A_00005_100,YES,1 year 90.41 percentile,Days in exceedance in a calendar year,Limit Value (LV),Health,PM10,46.7,50,ug.m-3,64.11,Verified,Traffic,Urban,44.177952,28.636391,RO22301,Constanta,Agglomeration
2014#Romania.PM10.P1Y.LV.SPO-RO0133A_00005_100,Romania,RO.ANPM.AQ,2014,NET-RO033A,"Constanta_RNMCA",STA-RO0133A,RO0133A,"CT-3",SPO-RO0133A_00005_100,NO,Annual mean / 1 calendar year,Annual mean / average,Limit Value (LV),Health,PM10,19.19,40,ug.m-3,80.82,Verified,Background,Suburban,44.312351,28.623131,,,
2014#Romania.SO2.P1Y.CL.SPO-RO0134A_00001_100,Romania,RO.ANPM.AQ,2014,NET-RO033A,"Constanta_RNMCA",STA-RO0134A,RO0134A,"CT-4",SPO-RO0134A_00001_100,YES,Annual mean / 1 calendar year,Annual mean / average,Critical level (CL),Vegetation,SO2,6.88,20,ug.m-3,67.28,Verified,Traffic,Urban,43.815163,28.582516,RO22399,Constanta,Non-agglomeration
2014#Romania.NO2.P1Y-hrsAbove200.LV.SPO-RO0134A_00008_100,Romania,RO.ANPM.AQ,2014,NET-RO033A,"Constanta_RNMCA",STA-RO0134A,RO0134A,"CT-4",SPO-RO0134A_00008_100,YES,1 year hour exceed 200,Hours in exceedance in a calendar year,Limit Value (LV),Health,NO2,0,18,count,99.95,Verified,Traffic,Urban,43.815163,28.582516,RO22399,Constanta,Non-agglomeration
